BEIDOU-2 IGSO-1 (C06)   
1 43603U 18067B   23352.29198207  .00000064  00000+0  00000+0 0  9999
2 43603  54.2418 211.9536 0004948  24.5570 335.5447  1.86231408 36167
BEIDOU-3 M13 (C32)      
1 43622U 18072A   23352.25130230 -.00000002  00000+0  00000+0 0  9997
2 43622  55.8512  92.9573 0005820 281.4415  78.4951  1.86230976 35677
BEIDOU-3 M14 (C33)      
1 43623U 18072B   23353.19066010 -.00000011  00000+0  00000+0 0  9996
2 43623  55.8538  92.9186 0003091 308.3470  51.6259  1.86230958 35689
BEIDOU-3 M16 (C35)      
1 43647U 18078A   23353.35425687 -.00000072  00000+0  00000+0 0  9992
2 43647  54.8432 331.6815 0007248 359.9461   0.0557  1.86232128 35207
BEIDOU-3 M15 (C34)      
1 43648U 18078B   23352.40944944 -.00000067  00000+0  00000+0 0  9994
2 43648  54.8397 331.7175 0004138 359.1713   0.8303  1.86231973 35209
BEIDOU-3 G1 (C59)       
1 43683U 18085A   23353.59053503 -.00000268  00000+0  00000+0 0  9997
2 43683   1.7585 117.8595 0001530  19.3020 303.4150  1.00273488 18921
BEIDOU-3 M17 (C36)      
1 43706U 18093A   23352.02052703  .00000062  00000+0  00000+0 0  9991
2 43706  54.2390 213.2679 0006745 294.9777  65.0324  1.86228093 34558
BEIDOU-3 M18 (C37)      
1 43707U 18093B   23352.96121128  .00000064  00000+0  00000+0 0  9995
2 43707  54.2396 213.2275 0006462 333.5429  26.5013  1.86229619 34560
BEIDOU-3 IGSO-1 (C38)   
1 44204U 19023A   23353.76493022 -.00000230  00000+0  00000+0 0  9992
2 44204  57.3740  47.1203 0024073 203.1210 229.2695  1.00250169 17236
BEIDOU-2 G8 (C01)       
1 44231U 19027A   23353.76071340 -.00000240  00000+0  00000+0 0  9992
2 44231   1.5044  72.1326 0004540 175.7923 258.4961  1.00266528 16943
BEIDOU-3 IGSO-2 (C39)   
1 44337U 19035A   23353.39683747 -.00000060  00000+0  00000+0 0  9997
2 44337  55.1626 166.8563 0031030 199.4620 340.8586  1.00296940 16531
BEIDOU-3 M24 (C46)      
1 44542U 19061A   23353.03206222  .00000064  00000+0  00000+0 0  9997
2 44542  54.4664 213.4841 0008824   8.9263 351.1667  1.86231461 28824
BEIDOU-3 M23 (C45)      
1 44543U 19061B   23353.68104257  .00000068  00000+0  00000+0 0  9998
2 44543  54.4645 213.4311 0005560   7.1907 340.0294  1.86231599 28832
BEIDOU-3 IGSO-3 (C40)   
1 44709U 19073A   23353.24100061 -.00000205  00000+0  00000+0 0  9990
2 44709  56.3592 290.6386 0033537 189.4558 170.4698  1.00249710 15309
BEIDOU-3 M22 (C44)      
1 44793U 19078A   23352.34049833 -.00000067  00000+0  00000+0 0  9993
2 44793  54.6922 331.6707 0006065   4.7971 355.2109  1.86231840 27679
BEIDOU-3 M21 (C43)      
1 44794U 19078B   23352.47079223 -.00000067  00000+0  00000+0 0  9994
2 44794  54.6658 331.6462 0004283 351.6018   8.3933  1.86232379 27679
BEIDOU-3 M19 (C41)      
1 44864U 19090A   23352.99199025 -.00000008  00000+0  00000+0 0  9991
2 44864  55.7861  93.1135 0017259 272.7797 270.1393  1.86231304 27267
BEIDOU-3 M20 (C42)      
1 44865U 19090B   23353.66937016 -.00000017  00000+0  00000+0 0  9997
2 44865  55.7883  93.1237 0014716 285.7608  81.0789  1.86231289 27254
BEIDOU-3 G2 (C60)       
1 45344U 20017A   23353.53306185 -.00000133  00000+0  00000+0 0  9993
2 45344   2.1255  21.6902 0003310 237.9655 100.1364  1.00271670 14128
BEIDOU-3 G3 (C61)       
1 45807U 20040A   23353.79718515 -.00000345  00000+0  00000+0 0  9990
2 45807   0.5810   8.6135 0009371 303.5858 173.4946  1.00272078 12953
BEIDOU-3 G4             
1 56564U 23066A   23353.76384623 -.00000102  00000+0  00000+0 0  9990
2 56564   2.5751 288.4090 0003934 236.1867 358.5310  1.00272069  2274
